colummn
GOOG
SOLO
ABT
CLF
MVIS
BBBY
MGI
M
ABBV
BAND
A
IBM
ABC
NKLA
AAL
JPM
AAPL
MSFT
AMZN
TSLA
FB
NVDA
JNJ
V
WMT
PG
XOM
BAC
MA
CVX
KO
DIS
LLY
AVGO
CSCO
COST
VZ
PEP
TMO
ADBE
CMCSA
NKE
ORCL
CRM
MRK
INTC
DHR
WFC
UPS
QCOM
AMD
MCD
T
UNP
NFLX
NEE
TXN
MS
PM
TMUS
BMY
LOW
SCHW
RTX
CVS
INTU
AXP
COP
SPY
AMGN
HON
LMT
DE
PYPL
ANTM
C
GS
AMAT
NOW
ISRG
BLK
TGT
BA
CAT
SBUX
GE
MO
ABNB
MU
